Group,Contract Label,Chain,Address,Status,Scan Mode,Current Chain Tip,Days Since First Block,Historical Event Count (actual or estimated),Historical Count Is Estimated?,Daily Avg Events (last 7d),Historical L1 Size (GB),Daily Growth (MB/day),Monthly Growth (GB/month),Backfill via Streaming Insert USD ⚠️ AVOID,Backfill via Load Job USD ✅ USE THIS,Monthly Storage USD (now),1-Year Cumulative Storage USD,Daily L3 Mart Scan GB,Monthly Query Cost USD (before free tier),Notes / Warnings,Error
"DAO","DAO Avatar / Celo",CELO,0x495d133B938596C9984d462F007B676bDc57eCEC,OK,quick (estimated),66009442,3068,438,YES,0,0.00031,0.000,0.00000,0.0015,0.0000,0.0000,0.0000,0.000,0.0000,,
"DAO","DAO Avatar / XDC",XDC,0x21eaC3fE218307BeE0463F77EBcA3b50F452C0Ce,OK,quick (estimated),102206194,283,0,YES,0,0.00000,0.000,0.00000,0.0000,0.0000,0.0000,0.0000,0.000,0.0000,,
"SUBTOTAL — DAO",,,,,,,,1556,,1,0.00109,0.001,0.00003,0.0054,0.0000,0.0000,0.0002,0.000,0.0000,,

"Utility","Faucet / Celo",CELO,0x4F93Fa058b03953C851eFaA2e4FC5C34afDFAb84,OK,quick (estimated),66009444,3068,6476741,YES,2111,4.53372,1.478,0.04434,22.6686,0.0000,0.0907,0.7173,0.000,0.0000,,
"Utility","Faucet / XDC",XDC,0x7344Da1Be296f03fbb8082aDaC5696058B5a9bd9,OK,quick (estimated),102206196,283,913406,YES,3233,0.63938,2.263,0.06789,3.1969,0.0000,0.0128,0.1529,0.000,0.0000,,
"Utility","NameService / Ethereum",ETHEREUM,0xec6dcE387B1616a0c44fF2E4fA9E90E53Cf14eb0,OK,quick (estimated),25022668,1670,0,YES,0,0.00000,0.000,0.00000,0.0000,0.0000,0.0000,0.0000,0.000,0.0000,,
"Utility","NameService / Celo",CELO,0x0F5dB7a64A6a64052693676CA898EC7F7A94FF4e,OK,quick (estimated),66009452,3068,0,YES,0,0.00000,0.000,0.00000,0.0000,0.0000,0.0000,0.0000,0.000,0.0000,,
"Utility","NameService / XDC",XDC,0x1e5154Bf5e31FF56051bbd45958b879Fb7a290FE,OK,quick (estimated),102206199,283,0,YES,0,0.00000,0.000,0.00000,0.0000,0.0000,0.0000,0.0000,0.000,0.0000,,
"Utility","OneTimePayments / Celo",CELO,0xB27D247f5C2a61D2Cb6b6E67FEE51d839447e97d,OK,quick (estimated),66009454,3068,0,YES,0,0.00000,0.000,0.00000,0.0000,0.0000,0.0000,0.0000,0.000,0.0000,,
"Utility","ContributionCalculation / Ethereum",ETHEREUM,0x8eEC64bb6807c0178f96277cCE6a334B4e565E5C,OK,quick (estimated),25022669,1989,0,YES,0,0.00000,0.000,0.00000,0.0000,0.0000,0.0000,0.0000,0.000,0.0000,,
"SUBTOTAL — Utility",,,,,,,,7390147,,5344,5.17310,3.741,0.11222,25.8655,0.0000,0.1035,0.8702,0.000,0.0000,,

"GRAND TOTAL",,,,,,,,58061410,,60431,40.64299,42.302,1.26906,203.2149,0.0000,0.8129,7.1625,10.253,0.0000 (after 1TB free tier applied),,

ASSUMPTIONS & METHODOLOGY
Run date,2026-05-04T15:56:08.742Z
Run mode,quick (7-day rate + estimated historical)
AVG_ROW_BYTES,700 — adjust if your rows are significantly wider or narrower
Daily rate window,last 7 days
L3 mart model,Partition-aware per-mart attribution (see estimate.ts L3_MARTS)
Additive marts,daily_invite_metrics + daily_claim_activity + daily_invite_funnel — INSERT pattern — scan 1 day partition only
Full-rebuild mart,invite_funnel_snapshot — CREATE OR REPLACE — scans full invite + UBIScheme L1 history daily
BQ partition pruning,Applied: additive mart scans = dailyGrowthMB (1 day's partition), not full table
BQ active storage rate,$0.02/GB/month (first 90 days)
BQ long-term storage rate,$0.01/GB/month (after 90 days)
BQ on-demand query rate,$6.25/TB
BQ free query tier,1 TB/month
BQ streaming insert rate,$5/GB — AVOID for backfill
BQ Load Job rate,$0 — USE FOR ALL BACKFILL
L2 views cost,L2 is all VIEWs — query cost flows through to L1 scans above
Envio HyperSync cost,NOT INCLUDED — check your plan at envio.dev
firstBlock estimates,Rows marked [~] in code use approximate deployment block — scan may start earlier than actual deployment
